"11/13/2010 11",11.00,28.32,32.1,8461,TRUE,210,0,,,,
"11/13/2010 12",12.00,28.56,32.1,8491,TRUE,210,0,,,,
"11/13/2010 13",13.00,28.33,32.1,8480,TRUE,210,0,,,,
"11/13/2010 14",14.00,27.34,32.09,8436,TRUE,210,0,,,,
"11/13/2010 15",15.00,26,32.09,8384,TRUE,210,0,,,,
"11/13/2010 16",16.00,26.63,32.09,8425,TRUE,210,0,,,,
"11/13/2010 17",17.00,29.04,32.08,8662,FALSE,180,871.2,,,,
"11/13/2010 18",18.00,27.16,32.08,9003,FALSE,150,814.8,,,,
"11/13/2010 19",19.00,28.56,32.07,8904,FALSE,120,856.8,,,,
"11/13/2010 20",20.00,28.96,32.06,8728,FALSE,90,868.8,,,,
"11/13/2010 21",21.00,27.59,32.06,8595,FALSE,60,827.7,,,,
"11/13/2010 22",22.00,27,32.07,8459,FALSE,30,810,,,,
"11/13/2010 23",23.00,24.64,32.08,8256,FALSE,0,0,,,,
"11/13/2010 24",24.00,19.83,32.08,7998,TRUE,27.75,-594.9,,,,
"11/14/2010 01",1.00,16.89,32.07,7754,TRUE,55.5,-506.7,,,,
"11/14/2010 02",2.00,19.99,32.07,7643,TRUE,83.25,-599.7,,,,
"11/14/2010 03",3.00,20.02,32.07,7573,TRUE,111,-600.6,,,,
"11/14/2010 04",4.00,19.97,32.07,7526,TRUE,138.75,-599.1,,,,
"11/14/2010 05",5.00,18.81,32.07,7527,TRUE,166.5,-564.3,,,,
"11/14/2010 06",6.00,17.37,32.06,7580,TRUE,194.25,-521.1,,,,
"11/14/2010 07",7.00,14.18,32.03,7670,TRUE,210,-425.4,,,,
"11/14/2010 08",8.00,13.6,32,7843,TRUE,210,0,,,,
"11/14/2010 09",9.00,13.67,31.97,7925,TRUE,210,0,,,,
"11/14/2010 10",10.00,13.62,31.94,8096,TRUE,210,0,,,,
"11/14/2010 11",11.00,20.94,31.93,8259,TRUE,210,0,,,,
"11/14/2010 12",12.00,24.77,31.93,8363,TRUE,210,0,,,,
"11/14/2010 13",13.00,22.6,31.92,8416,TRUE,210,0,,,,
"11/14/2010 14",14.00,17.13,31.86,8397,TRUE,210,0,,,,
"11/14/2010 15",15.00,13.66,31.75,8384,TRUE,210,0,,,,
"11/14/2010 16",16.00,21.37,31.69,8491,TRUE,210,0,,,,
"11/14/2010 17",17.00,27.71,31.69,8804,FALSE,180,831.3,,,,
"11/14/2010 18",18.00,29.8,31.7,9159,FALSE,150,894,,,,
"11/14/2010 19",19.00,29.18,31.71,9097,FALSE,120,875.4,,,,
"11/14/2010 20",20.00,28.75,31.7,8959,FALSE,90,862.5,,,,
"11/14/2010 21",21.00,28.97,31.68,8811,FALSE,60,869.1,,,,
"11/14/2010 22",22.00,29.39,31.68,8599,FALSE,30,881.7,,,,
